% Model:              Untitled.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jul 25 2025, 11:54
% Dimension:          2
% Nodes:              49
% Expressions:        78
% Description:        outpu, y-coordinate, Time, Displacement field, X-component, Displacement field, Y-component, Temperature
% Length unit:        m
% X                       Y                        x (m) @ t=0              y (m) @ t=0              t (s) @ t=0              u (m) @ t=0              v (m) @ t=0              T (K) @ t=0              x (m) @ t=50000          y (m) @ t=50000          t (s) @ t=50000          u (m) @ t=50000          v (m) @ t=50000          T (K) @ t=50000          x (m) @ t=1E5            y (m) @ t=1E5            t (s) @ t=1E5            u (m) @ t=1E5            v (m) @ t=1E5            T (K) @ t=1E5            x (m) @ t=1.5E5          y (m) @ t=1.5E5          t (s) @ t=1.5E5          u (m) @ t=1.5E5          v (m) @ t=1.5E5          T (K) @ t=1.5E5          x (m) @ t=2E5            y (m) @ t=2E5            t (s) @ t=2E5            u (m) @ t=2E5            v (m) @ t=2E5            T (K) @ t=2E5            x (m) @ t=2.5E5          y (m) @ t=2.5E5          t (s) @ t=2.5E5          u (m) @ t=2.5E5          v (m) @ t=2.5E5          T (K) @ t=2.5E5          x (m) @ t=3E5            y (m) @ t=3E5            t (s) @ t=3E5            u (m) @ t=3E5            v (m) @ t=3E5            T (K) @ t=3E5            x (m) @ t=3.5E5          y (m) @ t=3.5E5          t (s) @ t=3.5E5          u (m) @ t=3.5E5          v (m) @ t=3.5E5          T (K) @ t=3.5E5          x (m) @ t=4E5            y (m) @ t=4E5            t (s) @ t=4E5            u (m) @ t=4E5            v (m) @ t=4E5            T (K) @ t=4E5            x (m) @ t=4.5E5          y (m) @ t=4.5E5          t (s) @ t=4.5E5          u (m) @ t=4.5E5          v (m) @ t=4.5E5          T (K) @ t=4.5E5          x (m) @ t=5E5            y (m) @ t=5E5            t (s) @ t=5E5            u (m) @ t=5E5            v (m) @ t=5E5            T (K) @ t=5E5            x (m) @ t=5.5E5          y (m) @ t=5.5E5          t (s) @ t=5.5E5          u (m) @ t=5.5E5          v (m) @ t=5.5E5          T (K) @ t=5.5E5          x (m) @ t=6E5            y (m) @ t=6E5            t (s) @ t=6E5            u (m) @ t=6E5            v (m) @ t=6E5            T (K) @ t=6E5
0.05                      0                        0.05                     0                        0                        0                        0                        302.34799663946524       0.05                     0                        50000                    0                        0                        343.1499991180863        0.05                     0                        100000                   0                        0                        343.14999926834963       0.05                     0                        150000                   0                        0                        343.14999990591906       0.05                     0                        200000                   0                        0                        343.1500000639073        0.05                     0                        250000                   0                        0                        343.1500000368714        0.05                     0                        300000                   0                        0                        343.1500000089813        0.05                     0                        350000                   0                        0                        343.14999999751467       0.05                     0                        400000                   0                        0                        343.14999999780736       0.05                     0                        450000                   0                        0                        343.15000000215304       0.05                     0                        500000                   0                        0                        343.15000000086013       0.05                     0                        550000                   0                        0                        343.15000000011304       0.05                     0                        600000                   0                        0                        343.14999999991574
0.049912672667693475      0.04386899638684527      0.049912672667693475     0.04386899638684527      0                        2.0087560787844915E-5    2.0673111529210695E-5    302.6610973701291        0.049912672667693475     0.04386899638684527      50000                    2.0057285198987505E-5    3.6808493265925214E-5    343.23732641404075       0.049912672667693475     0.04386899638684527      100000                   2.005728519886839E-5     3.680849332836943E-5     343.23732657519196       0.049912672667693475     0.04386899638684527      150000                   2.0057285198150955E-5    3.680849358699853E-5     343.23732723579684       0.049912672667693475     0.04386899638684527      200000                   2.0057285197856933E-5    3.680849365087166E-5     343.237327398698         0.049912672667693475     0.04386899638684527      250000                   2.0057285197936124E-5    3.6808493639844276E-5    343.23732737047266       0.049912672667693475     0.04386899638684527      300000                   2.0057285198102742E-5    3.6808493628527645E-5    343.2373273415621        0.049912672667693475     0.04386899638684527      350000                   2.005728519824471E-5     3.680849362388615E-5     343.23732732971604       0.049912672667693475     0.04386899638684527      400000                   2.005728519827362E-5     3.6808493624009815E-5    343.2373273300398        0.049912672667693475     0.04386899638684527      450000                   2.005728519803522E-5     3.680849362577037E-5     343.2373273345383        0.049912672667693475     0.04386899638684527      500000                   2.0057285198071646E-5    3.680849362524559E-5     343.23732733319747       0.049912672667693475     0.04386899638684527      550000                   2.0057285198071734E-5    3.680849362494234E-5     343.23732733242326       0.049912672667693475     0.04386899638684527      600000                   2.0057285198153205E-5    3.6808493624861686E-5    343.23732733221885
0                         0                        0                        0                        0                        0                        0                        393.15                   0                        0                        50000                    0                        0                        393.15                   0                        0                        100000                   0                        0                        393.15                   0                        0                        150000                   0                        0                        393.15                   0                        0                        200000                   0                        0                        393.15                   0                        0                        250000                   0                        0                        393.15                   0                        0                        300000                   0                        0                        393.15                   0                        0                        350000                   0                        0                        393.15                   0                        0                        400000                   0                        0                        393.15                   0                        0                        450000                   0                        0                        393.15                   0                        0                        500000                   0                        0                        393.15                   0                        0                        550000                   0                        0                        393.15                   0                        0                        600000                   0                        0                        393.15
0.1                       0                        0.1                      0                        0                        0                        0                        293.15                   0.1                      0                        50000                    0                        0                        293.15                   0.1                      0                        100000                   0                        0                        293.15                   0.1                      0                        150000                   0                        0                        293.15                   0.1                      0                        200000                   0                        0                        293.15                   0.1                      0                        250000                   0                        0                        293.15                   0.1                      0                        300000                   0                        0                        293.15                   0.1                      0                        350000                   0                        0                        293.15                   0.1                      0                        400000                   0                        0                        293.15                   0.1                      0                        450000                   0                        0                        293.15                   0.1                      0                        500000                   0                        0                        293.15                   0.1                      0                        550000                   0                        0                        293.15                   0.1                      0                        600000                   0                        0                        293.15
0                         0.06666666666666668      0                        0.06666666666666668      0                        -6.822257354762047E-7    7.947688610045616E-5     393.1499999999999        0                        0.06666666666666668      50000                    -1.506514081442847E-5    9.927796812899936E-5     393.1499999999999        0                        0.06666666666666668      100000                   -1.5065140874881707E-5   9.927796820524985E-5     393.1499999999999        0                        0.06666666666666668      150000                   -1.5065141112435138E-5   9.927796852260514E-5     393.1499999999999        0                        0.06666666666666668      200000                   -1.5065141170937113E-5   9.927796860066948E-5     393.1499999999999        0                        0.06666666666666668      250000                   -1.5065141160557968E-5   9.92779685873184E-5      393.1499999999999        0                        0.06666666666666668      300000                   -1.5065141149800228E-5   9.927796857388351E-5     393.1499999999999        0                        0.06666666666666668      350000                   -1.5065141145219352E-5   9.927796856861094E-5     393.1499999999999        0                        0.06666666666666668      400000                   -1.5065141145271202E-5   9.927796856885228E-5     393.1499999999999        0                        0.06666666666666668      450000                   -1.5065141147499983E-5   9.927796857023701E-5     393.1499999999999        0                        0.06666666666666668      500000                   -1.506514114692293E-5    9.927796856971608E-5     393.1499999999999        0                        0.06666666666666668      550000                   -1.5065141146649116E-5   9.927796856933452E-5     393.1499999999999        0                        0.06666666666666668      600000                   -1.5065141146360029E-5   9.927796856951186E-5     393.1499999999999
0.1                       0.06666666666666665      0.10000000000000002      0.06666666666666665      0                        4.2053698287451156E-5    -2.041532523854976E-5    293.15                   0.10000000000000002      0.06666666666666665      50000                    5.645541286002163E-5     -6.699575847010497E-7    293.15                   0.10000000000000002      0.06666666666666665      100000                   5.6455412920564346E-5    -6.699575086957652E-7    293.15                   0.10000000000000002      0.06666666666666665      150000                   5.6455413157241133E-5    -6.699571907530906E-7    293.15                   0.10000000000000002      0.06666666666666665      200000                   5.645541321490624E-5     -6.699571117510146E-7    293.15                   0.10000000000000002      0.06666666666666665      250000                   5.6455413204817565E-5    -6.699571254456446E-7    293.15                   0.10000000000000002      0.06666666666666665      300000                   5.6455413194808874E-5    -6.699571398077184E-7    293.15                   0.10000000000000002      0.06666666666666665      350000                   5.64554131909198E-5      -6.699571459450589E-7    293.15                   0.10000000000000002      0.06666666666666665      400000                   5.645541319112089E-5     -6.699571458877275E-7    293.15                   0.10000000000000002      0.06666666666666665      450000                   5.6455413192117397E-5    -6.699571429448714E-7    293.15                   0.10000000000000002      0.06666666666666665      500000                   5.6455413191730926E-5    -6.699571437131936E-7    293.15                   0.10000000000000002      0.06666666666666665      550000                   5.6455413191448844E-5    -6.699571440766112E-7    293.15                   0.10000000000000002      0.06666666666666665      600000                   5.645541319159185E-5     -6.699571444535203E-7    293.15
0.049985016909999715      0.10180763711613557      0.049985016909999715     0.10180763711613557      0                        8.282619620449565E-5     4.532088410528801E-5     302.62186100064395       0.049985016909999715     0.10180763711613557      50000                    8.285657766364696E-5     7.670378825565487E-5     343.1649821306446        0.049985016909999715     0.10180763711613557      100000                   8.285657766378322E-5     7.670378838411982E-5     343.1649823137114        0.049985016909999715     0.10180763711613557      150000                   8.285657766307652E-5     7.670378889667729E-5     343.1649829937121        0.049985016909999715     0.10180763711613557      200000                   8.285657766226978E-5     7.670378902257815E-5     343.16498315889294       0.049985016909999715     0.10180763711613557      250000                   8.285657766255663E-5     7.670378900053884E-5     343.16498312916883       0.049985016909999715     0.10180763711613557      300000                   8.285657766331018E-5     7.670378897809943E-5     343.16498309936946       0.049985016909999715     0.10180763711613557      350000                   8.285657766400938E-5     7.670378896893009E-5     343.1649830872854        0.049985016909999715     0.10180763711613557      400000                   8.285657766415973E-5     7.670378896919241E-5     343.16498308768354       0.049985016909999715     0.10180763711613557      450000                   8.285657766290845E-5     7.670378897267921E-5     343.1649830923007        0.049985016909999715     0.10180763711613557      500000                   8.285657766310361E-5     7.670378897163805E-5     343.16498309091725       0.049985016909999715     0.10180763711613557      550000                   8.285657766309311E-5     7.670378897103683E-5     343.1649830901196        0.049985016909999715     0.10180763711613557      600000                   8.285657766353405E-5     7.670378897087613E-5     343.1649830899093
0                         0.13333333333333336      0                        0.13333333333333336      0                        9.80232760516051E-5      1.5680758673423953E-4    393.1499999999999        0                        0.13333333333333336      50000                    8.33892861160935E-5      1.9728677611494962E-4    393.1499999999999        0                        0.13333333333333336      100000                   8.33892860465114E-5      1.97286776283599E-4      393.1499999999999        0                        0.13333333333333336      150000                   8.338928579475217E-5     1.972867769461133E-4     393.1499999999999        0                        0.13333333333333336      200000                   8.338928573283531E-5     1.9728677710775894E-4    393.1499999999999        0                        0.13333333333333336      250000                   8.338928574437588E-5     1.9728677707948935E-4    393.1499999999999        0                        0.13333333333333336      300000                   8.338928575667142E-5     1.972867770513464E-4     393.1499999999999        0                        0.13333333333333336      350000                   8.338928576232283E-5     1.9728677704032786E-4    393.1499999999999        0                        0.13333333333333336      400000                   8.338928576242536E-5     1.9728677704084906E-4    393.1499999999999        0                        0.13333333333333336      450000                   8.338928575854975E-5     1.972867770438609E-4     393.1499999999999        0                        0.13333333333333336      500000                   8.338928575940339E-5     1.972867770427554E-4     393.1499999999999        0                        0.13333333333333336      550000                   8.33892857596749E-5      1.972867770419558E-4     393.1499999999999        0                        0.13333333333333336      600000                   8.338928576052291E-5     1.9728677704228462E-4    393.1499999999999
0.1                       0.1333333333333333       0.10000000000000002      0.1333333333333333       0                        1.4093300240376926E-4    -3.935426681854167E-5    293.15                   0.10000000000000002      0.1333333333333333       50000                    1.5568161595288832E-4    1.0525145022683334E-6    293.15                   0.10000000000000002      0.1333333333333333       100000                   1.5568161602299603E-4    1.0525146705731206E-6    293.15                   0.10000000000000002      0.1333333333333333       150000                   1.5568161627245794E-4    1.0525153347692506E-6    293.15                   0.10000000000000002      0.1333333333333333       200000                   1.556816163315998E-4     1.0525154983619753E-6    293.15                   0.10000000000000002      0.1333333333333333       250000                   1.5568161632104722E-4    1.0525154694113276E-6    293.15                   0.10000000000000002      0.1333333333333333       300000                   1.556816163113669E-4     1.052515439460857E-6     293.15                   0.10000000000000002      0.1333333333333333       350000                   1.5568161630814183E-4    1.0525154267732142E-6    293.15                   0.10000000000000002      0.1333333333333333       400000                   1.5568161630855618E-4    1.052515426947541E-6     293.15                   0.10000000000000002      0.1333333333333333       450000                   1.5568161630808013E-4    1.0525154329584995E-6    293.15                   0.10000000000000002      0.1333333333333333       500000                   1.5568161630791317E-4    1.0525154313678394E-6    293.15                   0.10000000000000002      0.1333333333333333       550000                   1.556816163075968E-4     1.0525154306111277E-6    293.15                   0.10000000000000002      0.1333333333333333       600000                   1.5568161630829042E-4    1.0525154298659299E-6    293.15
0.049997428792304836      0.16697682630996824      0.049997428792304836     0.16697682630996824      0                        2.1162513463745915E-4    7.309641810188798E-5     302.60764946142973       0.049997428792304836     0.16697682630996824      50000                    2.1170695385462523E-4    1.2328603885394587E-4    343.1525702019892        0.049997428792304836     0.16697682630996824      100000                   2.1170695385500562E-4    1.232860390722665E-4     343.1525704058982        0.049997428792304836     0.16697682630996824      150000                   2.1170695385322588E-4    1.2328603990609816E-4    343.15257111045963       0.049997428792304836     0.16697682630996824      200000                   2.1170695385113185E-4    1.2328604010955534E-4    343.15257127953373       0.049997428792304836     0.16697682630996824      250000                   2.1170695385187236E-4    1.2328604007333754E-4    343.15257124818123       0.049997428792304836     0.16697682630996824      300000                   2.1170695385383176E-4    1.2328604003681087E-4    343.15257121727205       0.049997428792304836     0.16697682630996824      350000                   2.1170695385564666E-4    1.2328604002195343E-4    343.15257120484256       0.049997428792304836     0.16697682630996824      400000                   2.1170695385603068E-4    1.232860400224152E-4     343.15257120530873       0.049997428792304836     0.16697682630996824      450000                   2.1170695385277482E-4    1.2328604002808088E-4    343.1525712100816        0.049997428792304836     0.16697682630996824      500000                   2.117069538532922E-4     1.2328604002638513E-4    343.1525712086454        0.049997428792304836     0.16697682630996824      550000                   2.1170695385325512E-4    1.232860400254068E-4     343.15257120781865       0.049997428792304836     0.16697682630996824      600000                   2.1170695385441175E-4    1.2328604002514518E-4    343.15257120760083
